HORÁRIO,SEGUNDA-FEIRA,TERÇA-FEIRA,QUARTA-FEIRA,QUINTA-FEIRA,SEXTA-FEIRA
['17:00-18:00'],,,,,"['IGUFU32508', 'LABPETRO']"
['07:00-08:00'],,,,,
['08:00-08:00'],,"['IGUFU32607', 'Vila Digital']","['IGUFU32611', 'GEOMIN']","['IGUFU32608', 'GEOMIN']",
['08:00-09:00'],,"['IGUFU32607', 'Vila Digital']","['IGUFU32611', 'GEOMIN']","['IGUFU32608', 'GEOMIN']",
['09:00-10:00'],,"['IGUFU32607', 'Vila Digital']","['IGUFU32611', 'GEOMIN']","['IGUFU32608', 'IB305 OU GEOMIN']",
['10:00-11:00'],,"['IGUFU32607', 'Vila Digital']","['IGUFU32611', 'GEOMIN']","['IGUFU32608', '1B305 OU GEOMIN']",
['11:00-12:00'],,,,"['IGUFU32608', '1B305 OU GEOMIN']",
['13:00-14:00'],,,,,
['14:00-14:00'],"['IGUFU32610', '1A212']","['IGUFU32610', '1A209']",,,
['14:00-15:00'],"['IGUFU32610', '1A212']","['IGUFU32610', '1A209']",,,
['16:00-16:00'],"['IGUFU32610', '1A212']","['IGUFU32610', '1A209']",,,
['16:00-17:00'],,,,,
['17:00-18:00'],,,,,
['07:00-08:00'],,,,,
['08:00-08:00'],"['IGUFU32706', '1A217 ou Lab. de Geofísica']",,,,
['08:00-09:00'],"['IGUFU32706', '1A217 ou Lab. de Geofísica']","['IGUFU32707', '1A214']",,,
['09:00-10:00'],"['IGUFU32706', '1A217 ou Lab. de Geofísica']","['IGUFU32707', '1A214']",,,
['10:00-11:00'],"['IGUFU32706', '1A217 ou Lab. de Geofísica']","['IGUFU32707', '1A214']",,,
['11:00-12:00'],,"['IGUFU32707', '1A214']",,,
['07:00-08:00'],,,,,
['08:00-08:00'],,,,,
['08:00-09:00'],"['IGUFU32807', '1A212']","['IGUFU32806', '1A212']",,,
['09:00-10:00'],"['IGUFU32807', '1A212']","['IGUFU32806', '1A212']",,,
['10:00-11:00'],"['IGUFU32807', '1A212']","['IGUFU32806', '1A212']",,,
['11:00-12:00'],"['IGUFU32807', '1A212']","['IGUFU32806', '1A212']",,,
['13:00-14:00'],"['IGUFU32808', '1A209']",,"['IGUFU32808', '1A214']","['IGUFU32809', '1A214']",
['14:00-14:00'],"['IGUFU32808', '1A209']",,"['IGUFU32808', '1A214']","['IGUFU32809', '1A214']",
['14:00-15:00'],,,,"['IGUFU32809', '1A214']",
['16:00-16:00'],,,,"['IGUFU32809', '1A214']",
['16:00-17:00'],,,,,
['17:00-18:00'],,,,,
['13:00-14:00'],,,,,"['IGUFU32906', '1A209']"
['14:00-14:00'],,,,,"['IGUFU32906', '1A209']"
['14:00-15:00'],"['IGUFU32907', '1A209']",,"['IGUFU32907', '1A214']",,"['IGUFU32906', '1A209']"
['16:00-16:00'],"['IGUFU32907', '1A209']",,"['IGUFU32907', '1A214']",,"['IGUFU32906', '1A209']"
['16:00-17:00'],,,,,
['17:4018:30'],,,,,
['19:00-19:00'],"['IGUFU32908', 'GEOMIN']",,,,
['19:00-20:00'],"['MAPEAMENTO', 'GEOMIN']",,,,
['20:00-21:00'],"['MAPEAMENTO', 'GEOMIN']",,,,
['07:00-08:00'],,,,,
['08:00-08:00'],,,,,"['IGUFU39059', 'LABPETRO']"
['08:00-09:00'],,,,"['IGUFU32901', '1A212']","['IGUFU39059', 'LABPETRO']"
['09:00-10:00'],,,,"['IGUFU32901', '1A212']","['IGUFU39059', 'LABPETRO']"
['10:00-11:00'],,,,,"['IGUFU39059', 'LABPETRO']"
['13:00-14:00'],,,,,
['14:00-14:00'],,,,,"['IGUFU32901', '1A212']"
['14:00-15:00'],,,,,"['IGUFU32901', '1A212']"
['16:00-16:00'],,,,,
['16:00-17:00'],,,,,
['07:10-08:00'],,,,,
['08:00-08:50'],,,,,
['08:50-09:40'],"['FAMAT39114', '1B302']","['GSI532', '1B302']","['FACOM33101', 'LAB 9']","['GSI505', '1B302']","['FACOM33101', 'LAB 9']"
['08:50-09:40'],"['FAMAT39114', '1B302']","['GSI532', '1B302']","['FACOM33101', 'LAB 9']","['GSI505', '1B302']","['FACOM33101', 'LAB 9']"
['10:40-11:30'],"['GSI532', '1B302']","['FAMAT39114', '1B302']","['GSI505', '1B302']","['FACOM33102', '1B302']","['GSI509', '1B302']"
['10:40-11:30'],"['GSI532', '1B302']","['FAMAT39114', '1B302']","['GSI505', '1B302']","['FACOM33102', '1B302']","['GSI509', '1B302']"
['13:10-14:00'],"['FAMAT39210', '1B302']","['FAMAT39210', '1B302']","['FACOM33203', '1B302']",,"['FACOM33201', 'LAB 8']"
['14:00-14:50'],"['FAMAT39210', '1B302']","['FAMAT39210', '1B302']","['FACOM33203', '1B302']",,"['FACOM33201', 'LAB 8']"
['14:50-15:40'],,"['FACOM33201', 'LAB 8']","['GSI528', '1B302']","['GSI528', '1B302']","['FACOM33203', 'LAB 9']"
['16:00-16:50'],"['IERI39202', '1B302']","['FACOM33201', 'LAB 8']","['GSI528', '1B302']","['GSI528', '1B302']","['FACOM33203', 'LAB 9']"
['16:50-17:40'],"['IERI39202', '1B302']",,,"['ACE-BSI', '1B302']",
