HORÁRIO,SEGUNDA-FEIRA,TERÇA-FEIRA,QUARTA-FEIRA,QUINTA-FEIRA,SEXTA-FEIRA
['14:50-15:40'],"['GAC038', '1A213']","['GAC038', '1B302']",,,,
['16:00-16:50'],"['GAC038', '1A213']","['GAC038', '1B302']",,,,
['16:50-17:40'],"['GAC041', 'SIGEO']",,"['GAC041', 'SIGEO']",,,
['17:40-18:30'],"['GAC041', 'SIGEO']",,"['GAC041', 'SIGEO']",,,
['7:10-8:00'],,"['GAC045', 'LAB 04 FACOM']",,"['GAC045', 'LAB 04 FACOM']",,
['8:00-8:50'],,"['GAC045', 'LAB 04 FACOM']",,"['GAC045', 'LAB 04 FACOM']",,
['8:50-9:40'],,,"['GAC043', 'SIGEO']",,,
['9:50-10:40'],,,"['GAC043', 'SIGEO']",,,
['10:40-11:30'],,,"['GAC043', 'SIGEO']",,,
['11:30-12:20'],,,"['GAC043', 'SIGEO']",,,
['13:10-14:00'],"['GAC046', '1B403']","['GAC044', '1B401 / LASER']",,,,
['14:00-14:50'],"['GAC046', '1B403']","['GAC044', '1B401 / LASER']",,,,
['14:50-15:40'],"['GAC046', '1B403']","['GAC044', '1B401 / LASER']",,,,
['16:00-16:50'],,"['GAC044', '1B401 / LASER']",,,,
['16:50-17:40'],,"['GAC042', '1B401']","['GAC042', '1B401']",,,
['17:40-18:30'],,"['GAC042', '1B401']","['GAC042', '1B401']",,,
['7:10-8:00'],"['GAC048', 'LASER']","['GAC049', '1B401']","['GAC048', 'LASER']",,,
['8:00-8:50'],"['GAC048', 'LASER']","['GAC049', '1B401']","['GAC048', 'LASER']",,,
['8:50-9:40'],,"['GAC047', 'LASER']","['GAC049', '1B401']",,,
['9:50-10:40'],,"['GAC047', 'LASER']","['GAC049', '1B401']",,,
['10:40-11:30'],,"['GAC047', 'LASER']",,,,
['11:30-12:20'],,"['GAC047', 'LASER']",,,,
['13:10-14:00'],,,"['GAC050', '1B401']",,,
['14:00-14:50'],,,"['GAC050', '1B401']",,,
['14:50-15:40'],,,"['GAC050', '1B401']",,,
['16:00-16:50'],,,"['GAC050', '1B401']",,,
['16:50-17:40'],,,,,,
['17:40-18:30'],,,,,,
['7:10-8:00'],,"['GAC053', '1A206 / LTGEO']",,"['GAC053', '1A206 / LTGEO']",,
['8:00-8:50'],,"['GAC053', '1A206 / LTGEO']",,"['GAC053', '1A206 / LTGEO']",,
['8:50-9:40'],,,,,,
['9:50-10:40'],,,,,,
['10:40-11:30'],,,,,,
['11:30-12:20'],,,,,,
