HORÁRIO,SEGUNDA-FEIRA,TERÇA-FEIRA,QUARTA-FEIRA,QUINTA-FEIRA,SEXTA-FEIRA
17h40-18h30,IGUFU34301 AtividadesCurriculares deExtensão: Geodiversidadee SociedadeI PROF.ALAN SALA1B303,FECIV39001- TOPOGRAFIAE GEODÉSIA PROF.ªLETÍCIA SALA1B305,,,IGUFU32508- PETROLOGIAÍGNEA PROFOTÁVIO LABPETRO
07h10-08h00,,,,,IGUFU34203 -MINERALOGIAII PROF.OTÁVIO LABPETRO
08h00-08h50,IGUFU32307- FOTOGEOLOGIAE SENSORIAMENTO REMOTO PROF.BRENO GEOTECHLAB,,IGUFU32306- PALEONTOLOGIAI PROFªSUZANA SALA1A212 ouLAPE,,IGUFU34203 -MINERALOGIAII PROF.OTÁVIO LABPETRO
08h50-09h40,IGUFUT32307- FOTOGEOLOGIAE SENSORIAMENTO REMOTO PROF.BRENO GEOTECHLAB,,IGUFU32306- PALEONTOLOGIAI PROFªSUZANA SALA1A212 ouLAPE,,IGUFU34203 -MINERALOGIAII PROF.OTÁVIO LABPETRO
09h50-10h40,IGUFU32307- FOTOGEOLOGIAE SENSORIAMENTO REMOTO PROF.BRENO GEOTECHLAB,,IGUFU32306- PALEONTOLOGIAI PROFªSUZANA SALA1A212 ouLAPE,,
10h40-11h30,IGUFUT32307- FOTOGEOLOGIAE SENSORIAMENTO REMOTO PROF.BRENO GEOTECHLAB,,IGUFU32306- PALEONTOLOGIAI PROFªSUZANA SALA1A212 ouLAPE,,
11h30-12h20,IGUFUT32307- FOTOGEOLOGIAE SENSORIAMENTO REMOTO PROF.BRENO GEOTECHLAB,IGUFU32307- FOTOGEOLOGIAE SENSORIAMENTO REMOTO PROF.BRENO GEOTECHLAB,,,
13h10-14h00,,IGUFU32301- GEOMORFOLOGIA PROF.ALAN LABCARTO ouGEOPED,,,
14h00-14h50,IGUFU32404- SEDIMENTOLOGIA PROF.LUCIANO SALA1B305OULAPE,IGUFU32301- GEOMORFOLOGIA PROF.ALAN LABCARTOouGEOPED,,,IGUFU32305 -MINERALOGIAII PROF.OTÁVIO LABPETRO
14h50-15h40,IGUFU32404- SEDIMENTOLOGIA PROF.LUCIANO SALA1B305OULAPE,IGUFU32301- GEOMORFOLOGIA PROF.ALAN LABCARTOouGEOPED,,,IGUFU32305 -MINERALOGIAII PROF.OTÁVIO LABPETRO
16h00-16h50,IGUFU32404- SEDIMENTOLOGIA PROF.LUCIANO SALA1B305OULAPE,IGUFU32301- GEOMORFOLOGIA PROF.ALAN LABCARTOouGEOPED,,,IGUFU32305 -MINERALOGIAII PROF.OTÁVIO LABPETRO
16h50-17h40,IGUFU32404- SEDIMENTOLOGIA PROF.LUCIANO SALA1B305OULAPE,,,,
17h40-18h30,,,,,
07h10-08h00,,,,,IGUFU32406-PEDOLOGIA PROF.ALAN SALA1A209 ouGEOPED
08h00-08h50,,,,,IGUFU32406-PEDOLOGIA PROF.ALAN SALA1A209 ouGEOPED
08h50-09h40,,,,,IGUFU32406-PEDOLOGIA PROF.ALAN SALA1A209 ouGEOPED
09h50-10h40,,,,,IGUFU32406-PEDOLOGIA PROF.ALAN SALA1A209 ouGEOPED
10h40-11h30,,,,,
11h30-12h20,,,,,
13h10-14h00,,,IQUFU32201 FÍSICO-QUÍMICA PROF.RODRIGO Laboratóriode QuímicaouSALA1B 302,,
14h00-14h50,,IGUFU32408- PALEONTOLOGIAII PROFªSUZANA SALA1A214 ou LAPE,IQUFU32201 FÍSICO-QUÍMICA PROF.RODRIGO LaboratóriodeQuímicaou SALA1B302,,
14h50-15h40,,IGUFU32408- PALEONTOLOGIAII PROFªSUZANA SALA1A214 ou LAPE,IGUFU32409-MÉTODOS DEPESQUISAEM GEOLOGIA PROF.EMERSON SALA1B305 IQUFU32201 FÍSICO-QUÍMICA PROF.RODRIGO SALA1B302,INFIS32401-FÍSICAIII PROFªSORANDRA SALA1B303,
16h00-16h50,,IGUFU32408- PALEONTOLOGIAII PROFªSUZANA SALA1A214 ou LAPE,IGUFU32409-MÉTODOS DEPESQUISAEM GEOLOGIA PROF.EMERSON SALA1B305 IQUFU32201 FÍSICO-QUÍMICA PROF.RODRIGO SALA1B302,INFIS32401-FÍSICAIII PROFªSORANDRA SALA1B303,
